t,p,FL,Fv,rho_L,rho_g,mu_L,mu_g,Z oil,Z gas
0,1.0,0.0,1.0,0.0,1.88710936384938,0.0,0.0144069230150375,0.0,0.993670425952995
0,2.0,0.0,1.0,0.0,3.79858191944323,0.0,0.0144255294490639,0.0,0.987297262590534
0,3.0,0.0,1.0,0.0,5.73515485363886,0.0,0.0144448168893217,0.0,0.980879233386178
0,4.0,0.0,1.0,0.0,7.69760222053328,0.0,0.0144648105915843,0.0,0.9744149992028
0,5.0,0.0,1.0,0.0,9.68673755122984,0.0,0.0144855372438435,0.0,0.967903153914823
0,6.0,0.0,1.0,0.0,11.7034167049464,0.0,0.014507025075414,0.0,0.961342219629026
0,7.0,0.0,1.0,0.0,13.7485409892441,0.0,0.0145293039766609,0.0,0.954730641458004
0,8.0,0.0,1.0,0.0,15.8230605810088,0.0,0.0145524056306246,0.0,0.948066781794016
0,9.0,0.0,1.0,0.0,17.9279782843007,0.0,0.0145763636580014,0.0,0.941348914023587
0,10.0,0.0,1.0,0.0,20.0643536664181,0.0,0.0146012137771495,0.0,0.934575215614634
0,11.0,0.0,1.0,0.0,22.233307619648,0.0,0.0146269939810438,0.0,0.927743760497821
0,12.0,0.0,1.0,0.0,24.4360274033676,0.0,0.0146537447333961,0.0,0.920852510652042
0,13.0,0.0,1.0,0.0,26.6737722296479,0.0,0.0146815091865063,0.0,0.913899306789988
0,14.0,0.0,1.0,0.0,28.947879465541,0.0,0.0147103334238241,0.0,0.906881858023334
0,15.0,0.0,1.0,0.0,31.2597715371582,0.0,0.0147402667306913,0.0,0.899797730367499
0,16.0,0.0,1.0,0.0,33.6109636348589,0.0,0.014771361897321,0.0,0.892644333922666
0,17.0,0.0,1.0,0.0,36.0030723358992,0.0,0.014803675558775,0.0,0.885418908539866
0,18.0,0.0,1.0,0.0,38.4378252813675,0.0,0.0148372685775476,0.0,0.878118507747402
0,19.0,0.0,1.0,0.0,40.9170720689928,0.0,0.0148722064753913,0.0,0.870739980672399
0,20.0,0.0,1.0,0.0,43.4427965534698,0.0,0.0149085599222668,0.0,0.863279951643136
0,21.0,0.0,1.0,0.0,46.0171307826526,0.0,0.0149464052918279,0.0,0.855734797097843
0,22.0,0.0,1.0,0.0,48.6423708430158,0.0,0.0149858252947253,0.0,0.848100619352058
0,23.0,0.0,1.0,0.0,51.3209949434034,0.0,0.0150269097033372,0.0,0.840373216685931
0,24.0,0.0,1.0,0.0,54.0556841351683,0.0,0.0150697561844152,0.0,0.832548049100115
0,25.0,0.0,1.0,0.0,56.849346153172,0.0,0.0151144712597525,0.0,0.824620198948178
0,26.0,0.0,1.0,0.0,59.7051429708265,0.0,0.0151611714195313,0.0,0.816584325476303
0,27.0,0.0,1.0,0.0,62.6265228002055,0.0,0.0152099844187939,0.0,0.808434612076668
0,28.0,0.0,1.0,0.0,65.617257444394,0.0,0.0152610507948822,0.0,0.80016470477427
0,29.0,0.0,1.0,0.0,68.6814861362153,0.0,0.0153145256532431,0.0,0.791767640097887
0,30.0,0.0,1.0,0.0,71.8237672925291,0.0,0.0153705807814352,0.0,0.783235760006347
0,31.0,0.0,1.0,0.0,75.0491400005589,0.0,0.015429407167518,0.0,0.774560610912346
0,32.0,0.0,1.0,0.0,78.3631975662288,0.0,0.0154912180207192,0.0,0.765732823012508
0,33.0,0.0,1.0,0.0,81.7721761430285,0.0,0.0155562524214256,0.0,0.756741965015529
0,34.0,0.0,1.0,0.0,85.2830623942803,0.0,0.0156247797671724,0.0,0.74757636784562
0,35.0,0.0,1.0,0.0,88.9037254262434,0.0,0.0156971052358579,0.0,0.738222908817385
0,36.0,0.0,1.0,0.0,92.643080020809,0.0,0.0157735765636111,0.0,0.728666744878267
0,37.0,0.0,1.0,0.0,96.5112907337151,0.0,0.0158545925428283,0.0,0.71889097940971
0,38.0,0.0,1.0,0.0,100.520030079824,0.0,0.0159406138018706,0.0,0.708876241167717
0,39.0,0.0,1.0,0.0,104.682809394654,0.0,0.0160321766572916,0.0,0.698600145270677
0,40.0,0.0,1.0,0.0,109.015409010235,0.0,0.0161299111739573,0.0,0.688036593146217
0,41.0,0.133901916079118,0.866098083920882,900.934146895299,111.62614623792,0.0830997538097706,0.016222573976841,0.0877689929173852,0.68570685425559
0,42.0,0.252272114203332,0.747727885796667,898.98643214275,113.933220281157,0.0827590902243479,0.0163130600145259,0.0900358457105183,0.684787484241882
0,43.0,0.343093329819558,0.656906670180441,897.028877178313,116.255387787455,0.0824189809878745,0.0164029907120044,0.0923101077951952,0.683815952848849
0,44.0,0.415235050598394,0.584764949401605,895.061277165079,118.592866896071,0.0820793885253349,0.0164924886961447,0.0945919058826146,0.682795393962467
0,45.0,0.474134620235131,0.525865379764868,893.08342255056,120.945873280311,0.0817402754277009,0.0165816699212608,0.0968813702370041,0.681728696467044
0,46.0,0.523311056089592,0.476688943910407,891.095097854292,123.314627845981,0.0814016042519875,0.0166706443781054,0.0991786349092667,0.680618498572103
0,47.0,0.565142197100387,0.434857802899612,889.096075966146,125.699390888963,0.0810633365419816,0.01675951704534,0.1014838384079,0.679467075650442
0,48.0,0.601294327780242,0.398705672219757,887.086136058284,128.100347485522,0.0807254359907923,0.0168483872810884,0.103797122207566,0.678276828976934
0,49.0,0.632968298045997,0.367031701954002,885.065040087948,130.517757688137,0.0803878643326202,0.0169373507868364,0.106118633046176,0.677049692634552
0,50.0,0.661052497322669,0.33894750267733,883.032546208687,132.951867942602,0.0800505837213393,0.0170264991896448,0.108448521872881,0.675787514464369
0,51.0,0.686218270033868,0.313781729966131,880.988405497273,135.402931278188,0.0797135561757888,0.0171159206370388,0.110786944316578,0.67449198935983
0,52.0,0.708982248070668,0.291017751929331,878.932352549909,137.871251681982,0.0793767419999987,0.0172057007842385,0.113134061851216,0.673164509835444
0,53.0,0.729749592687088,0.270250407312911,876.864136472692,140.357029354627,0.0790401050922748,0.017295921000472,0.115490038762885,0.671806754682618
0,54.0,0.74884150817709,0.251158491822909,874.783479256976,142.860569401202,0.0787036058574908,0.0173866615052889,0.117855046648999,0.670419921236737
