t,p,FL,Fv,rho_L,rho_g,mu_L,mu_g,Z oil,Z gas
0,1.0,0.0,1.0,0.0,1.90415941123748,0.0,0.0143434268959546,0.0,0.993468486162095
0,2.0,0.0,1.0,0.0,3.8337078109037,0.0,0.0143622783673223,0.0,0.98688917413739
0,3.0,0.0,1.0,0.0,5.78944735041894,0.0,0.0143818296799297,0.0,0.98026059476464
0,4.0,0.0,1.0,0.0,7.77222223148567,0.0,0.0144021077164565,0.0,0.97358120308498
0,5.0,0.0,1.0,0.0,9.78292183348633,0.0,0.0144231409466502,0.0,0.96684937276007
0,6.0,0.0,1.0,0.0,11.8224841452868,0.0,0.0144449595538879,0.0,0.960063389950528
0,7.0,0.0,1.0,0.0,13.8918995383839,0.0,0.0144675955746852,0.0,0.953221446589465
0,8.0,0.0,1.0,0.0,15.9922149237434,0.0,0.0144910830527866,0.0,0.946321632976453
0,9.0,0.0,1.0,0.0,18.124538341021,0.0,0.0145154582097215,0.0,0.939361929606067
0,10.0,0.0,1.0,0.0,20.2900440363237,0.0,0.014540759634002,0.0,0.932340198132052
0,11.0,0.0,1.0,0.0,22.4899780934853,0.0,0.0145670284914825,0.0,0.925254171352672
0,12.0,0.0,1.0,0.0,24.7256646942862,0.0,0.0145943087598155,0.0,0.918101442084459
0,13.0,0.0,1.0,0.0,26.9985130954844,0.0,0.0146226474904226,0.0,0.910879450769735
0,14.0,0.0,1.0,0.0,29.3100254253987,0.0,0.0146520951019893,0.0,0.903585471637217
0,15.0,0.0,1.0,0.0,31.6618054206275,0.0,0.0146827057101929,0.0,0.896216597203721
0,16.0,0.0,1.0,0.0,34.055568245011,0.0,0.0147145374992242,0.0,0.888769720867266
0,17.0,0.0,1.0,0.0,36.4931515590157,0.0,0.0147476531416951,0.0,0.88124151729622
0,18.0,0.0,1.0,0.0,38.9765280394723,0.0,0.0147821202747787,0.0,0.873628420263531
0,19.0,0.0,1.0,0.0,41.5078195884626,0.0,0.0148180120419732,0.0,0.865926597507072
