t,p,FL,Fv,rho_L,rho_g,mu_L,mu_g,Z oil,Z gas
0,1.0,0.0,1.0,0.0,1.93896785246229,0.0,0.0142601069612795,0.0,0.993075280480488
0,2.0,0.0,1.0,0.0,3.90539045916289,0.0,0.0142794162135812,0.0,0.98609399703372
0,3.0,0.0,1.0,0.0,5.90020739027114,0.0,0.0142994612058968,0.0,0.979054251771728
0,4.0,0.0,1.0,0.0,7.92441191927106,0.0,0.014320272119829,0.0,0.97195403951377
0,5.0,0.0,1.0,0.0,9.97905539495575,0.0,0.0143418810579274,0.0,0.96479123910865
0,6.0,0.0,1.0,0.0,12.065252080705,0.0,0.0143643222104464,0.0,0.957563603833523
0,7.0,0.0,1.0,0.0,14.1841845234867,0.0,0.0143876320407878,0.0,0.950268750746139
0,8.0,0.0,1.0,0.0,16.3371095251188,0.0,0.0144118494922235,0.0,0.942904148847661
0,9.0,0.0,1.0,0.0,18.5253648003597,0.0,0.0144370162189313,0.0,0.935467105889503
0,10.0,0.0,1.0,0.0,20.7503764207845,0.0,0.0144631768448954,0.0,0.927954753629399
0,11.0,0.0,1.0,0.0,23.0136671606918,0.0,0.0144903792548524,0.0,0.920364031307922
0,12.0,0.0,1.0,0.0,25.3168658821592,0.0,0.0145186749222197,0.0,0.912691667075697
0,13.0,0.0,1.0,0.0,27.6617181216777,0.0,0.0145481192798637,0.0,0.904934157051853
0,14.0,0.0,1.0,0.0,30.0500980716567,0.0,0.014578772140688,0.0,0.897087741633677
0,15.0,0.0,1.0,0.0,32.4840221879199,0.0,0.0146106981764011,0.0,0.889148378603208
0,16.0,0.0,1.0,0.0,34.965664700944,0.0,0.0146439674645224,0.0,0.881111712485035
0,17.0,0.0,1.0,0.0,37.4973753664217,0.0,0.0146786561157996,0.0,0.872973039496143
0,18.0,0.0,1.0,0.0,40.0816998629123,0.0,0.014714846996848,0.0,0.864727267287142
0,19.0,0.0,1.0,0.0,42.7214033350373,0.0,0.014752630566146,0.0,0.856368868496447
0,20.0,0.0,1.0,0.0,45.4194976954732,0.0,0.0147921058457255,0.0,0.847891826914041
0,21.0,0.0,1.0,0.0,48.1792734453986,0.0,0.0148333815562734,0.0,0.839289574764673
0,22.0,0.0,1.0,0.0,51.0043369613107,0.0,0.0148765774502769,0.0,0.830554919251666
0,23.0,0.0,1.0,0.0,53.8986544403385,0.0,0.0149218258868303,0.0,0.821679956024421
0,24.0,0.0,1.0,0.0,56.8666040159619,0.0,0.0149692737035054,0.0,0.812655966606831
0,25.0,0.0,1.0,0.0,59.9130379790396,0.0,0.0150190844562839,0.0,0.803473295996228
0,26.0,0.0,1.0,0.0,63.0433576047116,0.0,0.0150714411194479,0.0,0.794121205536032
0,27.0,0.0,1.0,0.0,66.2636038511635,0.0,0.0151265493656201,0.0,0.784587694668625
0,28.0,0.0,1.0,0.0,69.5805682453253,0.0,0.0151846415849881,0.0,0.774859283124183
0,29.0,0.0,1.0,0.0,73.0019297286711,0.0,0.0152459818567934,0.0,0.764920742251852
0,30.0,0.0,1.0,0.0,76.5364252940234,0.0,0.0153108721625328,0.0,0.754754760179662
0,31.0,0.0,1.0,0.0,80.194065197393,0.0,0.0153796602400531,0.0,0.744341519722165
0,32.0,0.0,1.0,0.0,83.9864078462465,0.0,0.0154527496383452,0.0,0.733658159525707
0,33.0,0.0,1.0,0.0,87.9269159085161,0.0,0.0155306127728379,0.0,0.722678076366202
0,34.0,0.0,1.0,0.0,92.0314250249141,0.0,0.0156138081479208,0.0,0.711370007318508
0,35.0,0.063223659417413,0.936776340582587,938.909607060429,95.9770495304489,0.090316800104485,0.0157052702235333,0.0729856920643761,0.70139129984759
0,36.0,0.280566293038406,0.719433706961593,924.06954342555,99.3486623822916,0.0873213279334429,0.0158088821391745,0.0758183282428096,0.694827049825994
0,37.0,0.521863850862921,0.478136149137078,917.174512909782,102.112485480467,0.0859627073978309,0.0159220310519305,0.078295048069614,0.691669817827392
0,38.0,0.678237691285644,0.321762308714355,913.383974186787,104.637983055418,0.0852147867271174,0.0160365096828333,0.0806234042957801,0.689814227211962
0,39.0,0.777239453681914,0.222760546318085,910.470646251482,107.105124357361,0.0846401499883678,0.0161494429433704,0.0829139015363989,0.688290006824384
0,40.0,0.844778865061915,0.155221134938084,907.878731954903,109.559272157471,0.0841317217332655,0.0162603074979548,0.0851951305078883,0.686858683210785
0,41.0,0.894064546067629,0.10593545393237,905.43358412913,112.014582775962,0.0836561267267502,0.0163690658181485,0.0874762549390674,0.685448560796038
0,42.0,0.931973631113031,0.0680263688869684,903.065842354995,114.476516678052,0.083200186379088,0.0164758017062082,0.0897609935852975,0.684033834436816
0,43.0,0.962351665001054,0.0376483349989459,900.743203520205,116.947473906893,0.0827577961513385,0.0165806347480934,0.0920511311500017,0.682604563769271
0,44.0,0.987496441700257,0.0125035582997426,898.448946189329,119.428513634507,0.082325811035623,0.0166836956983344,0.094347630649274,0.681157518942015
0,44.566839589095,0.999999964334703,3.56652966394514e-08,897.157343477745,120.839555043977,0.0820848650236727,0.0167413786754616,0.095652428840188,0.680329083020479
0,45.0,1.0,0.0,897.854055420886,0.0,0.0822177733385745,0.0,0.096507162220346,0.0
0,46.0,1.0,0.0,899.447854140726,0.0,0.0825232377489074,0.0,0.0984769574054343,0.0
0,47.0,1.0,0.0,901.021689332276,0.0,0.0828268374660925,0.0,0.100442009483278,0.0
0,48.0,1.0,0.0,902.5761383979,0.0,0.0831286321877654,0.0,0.102402408147569,0.0
0,49.0,1.0,0.0,904.111752192845,0.0,0.0834286788171464,0.0,0.104358239922845,0.0
0,50.0,1.0,0.0,905.629056688981,0.0,0.0837270316392348,0.0,0.106309588330044,0.0
0,51.0,1.0,0.0,907.128554507344,0.0,0.084023742483074,0.0,0.108256534040637,0.0
0,52.0,1.0,0.0,908.610726331861,0.0,0.0843188608714008,0.0,0.110199155020336,0.0
0,53.0,1.0,0.0,910.076032215289,0.0,0.0846124341588494,0.0,0.112137526663233,0.0
